,OBJECTID,TRACT,GEO,GEOID2,GEO_display_label,Population,Income,Home_value,No_car_percent,Bachelor_or_higher,Employment_percent,Marital_percent,Veterans_percent,Crime_count
59,22,4100,1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",2658,143586.0,852300.0,0.308,0.9321,0.768,0.49,0.044000000000000004,
60,23,4201,1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",3724,114205.0,647900.0,0.517,0.8819,0.8959999999999999,0.235,0.028999999999999998,1.0
61,24,4202,1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",2538,105978.0,479600.0,0.42200000000000004,0.9217,0.852,0.265,0.08,1.0
62,25,4300,1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",4033,95000.0,681200.0,0.39399999999999996,0.7977,0.841,0.257,0.033,7.0
63,26,4400,1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",5385,166071.0,694400.0,0.315,0.8791,0.884,0.28,0.034,13.0
64,58,4600,1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",2863,98698.0,629400.0,0.161,0.5889,0.778,0.175,0.07200000000000001,14.0
65,59,4701,1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",4888,40378.0,493000.0,0.29600000000000004,0.4737,0.639,0.205,0.052000000000000005,4.0
66,60,4702,1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",3144,101891.0,473100.0,0.33899999999999997,0.7378,0.777,0.23199999999999998,0.042,4.0
67,61,4801,1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",2725,109601.0,635400.0,0.349,0.6686,0.826,0.263,0.038,3.0
68,62,4802,1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",3528,67409.0,590800.0,0.479,0.55,0.773,0.166,0.045,6.0
69,63,4901,1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",2837,103500.0,737900.0,0.386,0.6626,0.833,0.251,0.028999999999999998,9.0
70,64,4902,1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",3147,87083.0,515900.0,0.409,0.6559,0.813,0.254,0.016,1.0
71,65,5001,1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",2083,138295.0,807900.0,0.305,0.8009,0.871,0.345,0.054000000000000006,
